Cytokine,Disease,Reference,Uniprot
IL 2,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127657/pdf/main.pdf,P29279
IL 4,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127657/pdf/main.pdf,P78423
IL 9,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127657/pdf/main.pdf,P09341
IL 10,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127657/pdf/main.pdf,P02778
IL 13,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127657/pdf/main.pdf,O14625
IL 17,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127657/pdf/main.pdf,P48061
IL 8,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127657/pdf/main.pdf,O43927
FGF,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127657/pdf/main.pdf,O95715
CXCL9,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5977226/pdf/viruses 10 00233.pdf,Q9H2A7
CXCL10,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5977226/pdf/viruses 10 00233.pdf,N/A
CXCL11,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5977226/pdf/viruses 10 00233.pdf,P19875
CCL5,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5977226/pdf/viruses 10 00233.pdf,P19876
IL 15,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5977226/pdf/viruses 10 00233.pdf,P02776
IFN gamma,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8566937/pdf/fimmu 12 750365.pdf,P42830
IFN alpha,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8566937/pdf/fimmu 12 750365.pdf,P80162
CCL2,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8566937/pdf/fimmu 12 750365.pdf,Q07325
TNF alpha,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8566937/pdf/fimmu 12 750365.pdf,P01133
IFN beta,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5660495/pdf/e00785 17.pdf,P05230
CCL3,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6058022/pdf/fimmu 09 01640.pdf,P09038
CCL4,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6058022/pdf/fimmu 09 01640.pdf,P49771
CCL7,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6058022/pdf/fimmu 09 01640.pdf,Q99062
CXCL1,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6058022/pdf/fimmu 09 01640.pdf,Q99988
CXCL2,Zika Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6058022/pdf/fimmu 09 01640.pdf,P14210
IL 6,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7168213/pdf/pathogens 09 00133.pdf,Q9NWT6
IL 17,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7168213/pdf/pathogens 09 00133.pdf,P09429
IL 1,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7923415/pdf/viruses 13 00321.pdf,P01562
IL 8,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9040584/pdf/msystems.00064 22.pdf,P01574
CCL4,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9040584/pdf/msystems.00064 22.pdf,P01579
CCL20,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9040584/pdf/msystems.00064 22.pdf,Q8IU54
CCL5,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9040584/pdf/msystems.00064 22.pdf,P05019
TNF alpha,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9040584/pdf/msystems.00064 22.pdf,P01583
IL 2,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8069280/pdf/viruses 13 00669.pdf,P22301
IL 5,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8069280/pdf/viruses 13 00669.pdf,P20809
IL 10,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8069280/pdf/viruses 13 00669.pdf,P29459
IL 15,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8069280/pdf/viruses 13 00669.pdf,P35225
IL 18,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8069280/pdf/viruses 13 00669.pdf,P40933
IL 4,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8069280/pdf/viruses 13 00669.pdf,Q14005
IL 12,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8069280/pdf/viruses 13 00669.pdf,Q16552
IFN gamma,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9301195/pdf/fcimb 12 927131.pdf,Q14116
IL 36,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9301195/pdf/fcimb 12 927131.pdf,P60568
FLT 3L,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9301195/pdf/fcimb 12 927131.pdf,Q9NYY1
sCD40L,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9301195/pdf/fcimb 12 927131.pdf,Q9HBE4
IL 13,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9301195/pdf/fcimb 12 927131.pdf,Q9GZX6
CCL3,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9301195/pdf/fcimb 12 927131.pdf,Q9NPF7
TNF beta,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9301195/pdf/fcimb 12 927131.pdf,Q13007
IL 7,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9301195/pdf/fcimb 12 927131.pdf,Q9H293
CXCL14,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6680694/pdf/microorganisms 07 00199.pdf,Q8NEV9
IFN alpha,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6680694/pdf/microorganisms 07 00199.pdf,Q8IZJ0
IFN beta,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6680694/pdf/microorganisms 07 00199.pdf,Q8IU54
CCL2,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6680694/pdf/microorganisms 07 00199.pdf,P08700
CXCL9,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6680694/pdf/microorganisms 07 00199.pdf,N/A
CXCL10,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7472209/pdf/viruses 12 00832.pdf,Q6EBC2
CCL26,Human Papiloma Virus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7472209/pdf/viruses 12 00832.pdf,P24001
TGF beta,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7732468/pdf/fimmu 11 596841.pdf,O95760
activins A,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7732468/pdf/fimmu 11 596841.pdf,N/A
activins B,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7732468/pdf/fimmu 11 596841.pdf,Q9UHA7
BMP 2,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7732468/pdf/fimmu 11 596841.pdf,Q9NZH6
TNF alpha,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7472203/pdf/viruses 12 00885.pdf,Q8WWZ1
IL 1,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4714213/pdf/zbc1251.pdf,P05112
IL 6,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4714213/pdf/zbc1251.pdf,P05113
IL 8,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4714213/pdf/zbc1251.pdf,P05231
TNF beta,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4714213/pdf/zbc1251.pdf,P13232
IFN gamma,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968240/pdf/12977_2021_Article_552.pdf,P10145
CXCL11,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968240/pdf/12977_2021_Article_552.pdf,P15248
IL 2,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968240/pdf/12977_2021_Article_552.pdf,N/A
IL 5,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968240/pdf/12977_2021_Article_552.pdf,P15018
IL 7,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968240/pdf/12977_2021_Article_552.pdf,Q06643
IL 10,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968240/pdf/12977_2021_Article_552.pdf,P01138
IL 12,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968240/pdf/12977_2021_Article_552.pdf,N/A
IL 17,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968240/pdf/12977_2021_Article_552.pdf,P13725
IL 21,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968240/pdf/12977_2021_Article_552.pdf,P04085
IL 23,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968240/pdf/12977_2021_Article_552.pdf,Q9H7Z7
IL 15,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6351442/pdf/fimmu 09 03141.pdf,P35354
CCL11,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6351442/pdf/fimmu 09 03141.pdf,O14788
CX3CL1,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6351442/pdf/fimmu 09 03141.pdf,P21583
G CSF,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6351442/pdf/fimmu 09 03141.pdf,P01135
CCL2,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6351442/pdf/fimmu 09 03141.pdf,P01137
CCL3,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6351442/pdf/fimmu 09 03141.pdf,P01033
CCL4,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6351442/pdf/fimmu 09 03141.pdf,P01375
IFN alpha,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8793001/pdf/nihms 1770899.pdf,N/A
IFN beta,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8793001/pdf/nihms 1770899.pdf,P15692
IL 18,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8793001/pdf/nihms 1770899.pdf,P36222
CXCL5,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6374372/pdf/41598_2019_Article_38547.pdf,N/A
CXCL1,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6374372/pdf/41598_2019_Article_38547.pdf,N/A
IL 17,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6374372/pdf/41598_2019_Article_38547.pdf,P35228
CCL5,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6063410/pdf/pone.0201144.pdf,P29965
CXCL13,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7093991/pdf/12916_2020_Article_1529.pdf,
CXCL10,HIV,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8861487/pdf/fimmu 13 780922.pdf,
IL 6,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8638460/pdf/12929_2021_Article_778.pdf,
CCL4,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8638460/pdf/12929_2021_Article_778.pdf,
CCL17,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8638460/pdf/12929_2021_Article_778.pdf,
G CSF,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8638460/pdf/12929_2021_Article_778.pdf,
CCL2,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6410217/pdf/viruses 11 00175.pdf,
CXCL10,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6410217/pdf/viruses 11 00175.pdf,
CXCL9,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6410217/pdf/viruses 11 00175.pdf,
TNF alpha,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6410217/pdf/viruses 11 00175.pdf,
IL 5,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8524093/pdf/fmicb 12 744164.pdf,
IL 7,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8524093/pdf/fmicb 12 744164.pdf,
IL 10,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8524093/pdf/fmicb 12 744164.pdf,
IL 15,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8524093/pdf/fmicb 12 744164.pdf,
HGF,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8524093/pdf/fmicb 12 744164.pdf,
IFN alpha,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3071069/pdf/jiq042.pdf,
IL 1,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3071069/pdf/jiq042.pdf,
IL 8,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3071069/pdf/jiq042.pdf,
IL 12,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3071069/pdf/jiq042.pdf,
FGF,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3071069/pdf/jiq042.pdf,
CCL3,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3071069/pdf/jiq042.pdf,
IL 4,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3071069/pdf/jiq042.pdf,
CCL11,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3071069/pdf/jiq042.pdf,
VEGF,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3071069/pdf/jiq042.pdf,
IFN beta,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5969245/pdf/RMV 28 na.pdf,
IFN gamma,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5969245/pdf/RMV 28 na.pdf,
CCL5,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9147731/pdf/viruses 14 00969.pdf,
RANKL,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6191487/pdf/fcimb 08 00345.pdf,
IL 13,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6191487/pdf/fcimb 08 00345.pdf,
IL 17,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6191487/pdf/fcimb 08 00345.pdf,
CCL8,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6191487/pdf/fcimb 08 00345.pdf,
CCL7,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6191487/pdf/fcimb 08 00345.pdf,
IL 18,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6191487/pdf/fcimb 08 00345.pdf,
IL 2,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5330729/pdf/jci 127 84417.pdf,
CX3CL1,Chikungunya,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110311/pdf/MSB 14 e7862.pdf,
IFN gamma,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7694534/pdf/viruses 12 01257.pdf,
TNF alpha,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7694534/pdf/viruses 12 01257.pdf,
IL 15,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7694534/pdf/viruses 12 01257.pdf,
IL 8,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4442344/pdf/zjv4335.pdf,
IL 6,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4442344/pdf/zjv4335.pdf,
IL 1,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2567051/pdf/nihms68262.pdf,
IL 12,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149852/pdf/main.pdf,
CCL3,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149852/pdf/main.pdf,
CCL5,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149852/pdf/main.pdf,
G CSF,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3416162/pdf/zjv9105.pdf,
CCL17,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3416162/pdf/zjv9105.pdf,
IL 10,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3416162/pdf/zjv9105.pdf,
IL 13,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3416162/pdf/zjv9105.pdf,
IL 17,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3416162/pdf/zjv9105.pdf,
IL 2,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3416162/pdf/zjv9105.pdf,
IL 4,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3416162/pdf/zjv9105.pdf,
IL 5,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3416162/pdf/zjv9105.pdf,
IL 7,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3416162/pdf/zjv9105.pdf,
IL 9,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3416162/pdf/zjv9105.pdf,
CXCL10,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3416162/pdf/zjv9105.pdf,
CXCL1,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3416162/pdf/zjv9105.pdf,
CCL5,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3416162/pdf/zjv9105.pdf,
IFN beta,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3284473/pdf/1743 422X 9 5.pdf,
IL 18,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3067809/pdf/1931 10.pdf,
IFN alpha,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3022624/pdf/pone.0015615.pdf,
CCL2,Monkey Pox,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3599072/pdf/1743 422X 10 61.pdf,
CCL2,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5662013/pdf/main.pdf,
IL 6,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5662013/pdf/main.pdf,
CXCL10,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5662013/pdf/main.pdf,
IFN alpha,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5920089/pdf/41598_2018_Article_24729.pdf,
IFN beta,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5920089/pdf/41598_2018_Article_24729.pdf,
IFN gamma,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5920089/pdf/41598_2018_Article_24729.pdf,
IL 1,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5920089/pdf/41598_2018_Article_24729.pdf,
TNF alpha,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5920089/pdf/41598_2018_Article_24729.pdf,
IL 4,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5920089/pdf/41598_2018_Article_24729.pdf,
IL 10,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5920089/pdf/41598_2018_Article_24729.pdf,
IL 2,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5352325/pdf/oncotarget 08 7336.pdf,
CCL19,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5352325/pdf/oncotarget 08 7336.pdf,
CCL21,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5352325/pdf/oncotarget 08 7336.pdf,
CCL3,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5068972/pdf/nihms 821166.pdf,
CCL5,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5068972/pdf/nihms 821166.pdf,
IL 21,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
IL 23,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
IL 22,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
CCL20,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
IL 5,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
IL 9,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
IL 12,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
IL 13,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
IL 15,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
IL 27,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
IL 28,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
IL 31,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
IL 33,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
CCL17,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
TNF beta,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4489460/pdf/0074 0276 mioc 110 2 0263.pdf,
IL 18,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9130599/pdf/fimmu 13 893512.pdf,
IL 17,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9130599/pdf/fimmu 13 893512.pdf,
IFN lambda,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6683989/pdf/JEM_20190669.pdf,
IL 29,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6683989/pdf/JEM_20190669.pdf,
IL 8,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6120688/pdf/cshperspectmed HAE a031708.pdf,
CXCL9,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6120688/pdf/cshperspectmed HAE a031708.pdf,
CXCL11,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8539651/pdf/viruses 13 02101.pdf,
CXCL12,Human hepatitis A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8539651/pdf/viruses 13 02101.pdf,
